ID,count_00,count_01,count_02,count_03,count_04,count_05,count_06,count_07,count_08,count_09,count_10,count_11,count_12,count_13,count_14,count_15,count_16,count_17,sum,perc_0,perc_1,perc_2,perc_3,perc_4,perc_5,perc_6,perc_7,perc_8,perc_9,perc_10,perc_11,perc_12,perc_13,perc_14,perc_15,perc_16,perc_17
BEN04_0020_t,0,0,0,0,171,6,52,0,0,0,0,0,0,0,0,0,0,0,229,0,0,0,0,74.67,2.62,22.71,0,0,0,0,0,0,0,0,0,0,0
BEN04_0011_t,0,0,0,0,0,246,0,34,0,0,0,0,0,0,0,0,4,0,284,0,0,0,0,0,86.62,0,11.97,0,0,0,0,0,0,0,0,1.41,0
BEN04_0005_t,0,0,0,0,0,126,130,8,0,0,0,24,0,0,0,0,0,0,288,0,0,0,0,0,43.75,45.14,2.78,0,0,0,8.33,0,0,0,0,0,0
BEN04_0022_t,0,0,0,0,151,0,123,0,0,0,0,0,0,0,0,0,0,0,274,0,0,0,0,55.11,0,44.89,0,0,0,0,0,0,0,0,0,0,0
BEN04_0018_t,0,0,0,0,0,23,254,0,0,0,0,0,0,0,0,0,0,0,277,0,0,0,0,0,8.3,91.7,0,0,0,0,0,0,0,0,0,0,0
BEN04_0012_t,0,0,0,0,0,192,46,11,0,0,0,0,0,0,0,0,3,0,252,0,0,0,0,0,76.19,18.25,4.37,0,0,0,0,0,0,0,0,1.19,0
BEN04_0002_t,0,0,0,0,0,15,216,4,0,0,0,0,0,0,0,0,0,0,235,0,0,0,0,0,6.38,91.91,1.7,0,0,0,0,0,0,0,0,0,0
BEN04_0015_t,0,0,0,0,0,44,185,5,0,0,0,0,0,0,0,0,0,0,234,0,0,0,0,0,18.8,79.06,2.14,0,0,0,0,0,0,0,0,0,0
BEN04_0001_t,0,0,0,0,0,40,195,17,0,0,0,0,0,0,0,0,0,0,252,0,0,0,0,0,15.87,77.38,6.75,0,0,0,0,0,0,0,0,0,0
BEN04_0013_t,0,0,0,0,0,43,174,5,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,19.37,78.38,2.25,0,0,0,0,0,0,0,0,0,0
BEN04_0003_t,0,0,0,0,0,3,204,0,0,0,0,9,0,0,0,0,0,0,216,0,0,0,0,0,1.39,94.44,0,0,0,0,4.17,0,0,0,0,0,0
BEN04_0006_t,0,0,0,0,0,83,137,22,0,0,0,0,0,0,0,0,5,0,247,0,0,0,0,0,33.6,55.47,8.91,0,0,0,0,0,0,0,0,2.02,0
