,P1,P2,P3,ID,class,perc_0,perc_1,perc_2,perc_3,perc_4,perc_5,perc_6,perc_7,perc_8,perc_9,perc_10,perc_11,perc_12,perc_13,perc_14,perc_15,perc_16,perc_17,gt,hcluster_nonpca,hcluster_pca,kcluster_nonpca,kcluster_pca
277,-6.093815313212817,18.68361777061314,10.921109601652637,GMBC07_0000_t,3.0,0.0,0.0,12.58,3.87,14.95,0.0,34.99,0.0,0.0,0.0,14.48,0.0,0.0,5.25,0.0,13.88,0.0,0.0,blue_red_green,1,0,2,0
278,-11.761647087473277,12.130918254821353,2.931554375909831,GMBC07_0001_t,3.0,13.8,0.0,15.27,5.79,11.18,14.96,23.04,0.0,0.0,0.0,10.43,0.0,0.0,5.53,0.0,0.0,0.0,0.0,blue_red_green,1,0,2,0
279,-23.505123221745826,-4.24230118370589,-11.195925773148733,GMBC07_0002_t,3.0,16.44,0.0,17.52,6.15,0.0,11.9,0.0,23.86,0.0,0.0,8.9,0.0,0.0,4.02,0.0,11.22,0.0,0.0,blue_red_green,1,5,2,6
280,-13.170727822426608,14.127915489105483,2.2812617864927134,GMBC07_0003_t,3.0,13.86,0.0,14.02,4.17,9.71,17.21,23.55,0.0,0.0,0.0,11.51,0.0,0.0,5.96,0.0,0.0,0.0,0.0,blue_red_green,1,0,2,0
281,-7.462634374888007,-0.3553962300125825,-12.017443245405529,GMBC07_0004_t,6.0,20.77,0.0,10.93,0.0,15.85,22.95,0.0,12.39,0.0,0.0,0.0,0.0,0.0,2.91,0.0,0.0,0.0,14.21,unclassified,6,0,2,0
282,-5.542812108113016,-3.5197922577940046,-14.005787117112781,GMBC07_0005_t,6.0,8.4,0.0,19.24,0.0,17.86,12.67,0.0,12.67,0.0,0.0,14.05,0.0,0.0,0.0,0.0,0.0,0.0,15.11,unclassified,1,0,2,6
283,-5.059643072033177,9.862006475152286,0.30658939565565013,GMBC07_0006_t,6.0,13.73,0.0,9.41,0.0,16.67,8.33,18.52,9.41,0.0,0.0,12.81,0.0,0.0,0.0,0.0,0.0,0.0,11.11,unclassified,1,0,2,0
284,-10.554958558679035,9.537866851495941,-5.519532288269734,GMBC07_0007_t,6.0,13.23,0.0,11.72,0.0,11.91,13.23,14.18,10.02,0.0,0.0,14.18,0.0,0.0,0.0,0.0,11.53,0.0,0.0,unclassified,1,0,2,0
285,-9.38100402432203,12.242855344001908,-8.89513605334298,GMBC07_0008_t,6.0,12.32,0.0,11.99,0.0,14.78,33.33,11.33,7.39,0.0,0.0,8.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unclassified,6,0,1,0
286,-12.979503972242577,3.9024580993837983,-15.997813041402479,GMBC07_0009_t,6.0,13.87,0.0,12.33,0.0,11.13,31.68,0.0,7.88,0.0,0.0,9.76,0.0,0.0,0.0,0.0,13.36,0.0,0.0,unclassified,6,0,1,6
287,-5.592842995310608,14.434702433454726,-2.121443184338525,GMBC07_0010_t,6.0,9.96,0.0,7.22,0.0,16.88,19.91,18.04,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.59,0.0,0.0,unclassified,1,0,2,0
288,-6.878927886198233,19.6725814024587,4.377184635151338,GMBC07_0011_t,6.0,10.2,0.0,8.16,0.0,14.8,12.41,28.74,0.0,0.0,0.0,13.44,0.0,0.0,0.0,0.0,12.24,0.0,0.0,unclassified,1,0,2,0
289,-4.694140949936121,10.679318311057798,-1.7560890552027861,GMBC07_0012_t,6.0,15.4,0.0,6.53,0.0,16.64,9.33,17.11,0.0,0.0,0.0,15.86,0.0,0.0,0.0,0.0,19.13,0.0,0.0,unclassified,1,0,2,0
290,-8.845145959569484,12.665377079557617,-7.424015052058763,GMBC07_0013_t,6.0,12.98,0.0,5.73,0.0,14.5,34.91,10.79,0.0,0.0,0.0,11.13,0.0,0.0,0.0,0.0,9.95,0.0,0.0,unclassified,6,0,1,0
291,-9.134241311003548,9.321779601590077,-4.746022415748863,GMBC07_0014_t,6.0,14.94,0.0,9.0,0.0,12.73,12.05,14.43,0.0,0.0,0.0,13.41,0.0,0.0,0.0,0.0,23.43,0.0,0.0,unclassified,1,0,2,0
292,-16.380381667068093,3.2265356022914102,-19.930343893072504,GMBC07_0015_t,6.0,0.0,0.0,24.19,0.0,9.14,30.67,0.0,17.52,0.0,0.0,9.52,0.0,0.0,0.0,0.0,8.95,0.0,0.0,unclassified,1,0,1,6
293,-7.582052076234563,5.556724856969924,-3.9438046471606114,GMBC07_0016_t,6.0,17.45,0.0,11.58,0.0,14.43,9.73,13.26,0.0,0.0,0.0,12.25,0.0,0.0,0.0,0.0,7.89,0.0,13.42,unclassified,1,0,2,0
